"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 18:58:55 EAT 2024","Wed Oct 30 18:59:04 EAT 2024","9454","","uiTests.AccountPageTest","","uiTests.AccountPageTest","clickConstructorFromAccountPageSuccessful","clickConstructorFromAccountPageSuccessful",""
"passed","Wed Oct 30 19:00:12 EAT 2024","Wed Oct 30 19:00:19 EAT 2024","7269","","uiTests.RegisterTest","","uiTests.RegisterTest","registerParameterizedTest[1]","registerParameterizedTest[1]",""
"passed","Wed Oct 30 18:59:48 EAT 2024","Wed Oct 30 18:59:54 EAT 2024","5556","","uiTests.MainPageTest","","uiTests.MainPageTest","clickSauceTabWorks","Click sauce tab successful",""
"passed","Wed Oct 30 18:59:19 EAT 2024","Wed Oct 30 18:59:25 EAT 2024","6289","","uiTests.LoginTest","","uiTests.LoginTest","loginFromRegisterPageLoginButtonValidCredsSuccessful","Login from register page with valid creds successful",""
"passed","Wed Oct 30 19:00:23 EAT 2024","Wed Oct 30 19:00:28 EAT 2024","4616","","uiTests.RegisterTest","","uiTests.RegisterTest","registerParameterizedTest[3]","registerParameterizedTest[3]",""
"passed","Wed Oct 30 18:59:34 EAT 2024","Wed Oct 30 18:59:42 EAT 2024","7427","","uiTests.LoginTest","","uiTests.LoginTest","loginFromMainPageLoginButtonValidCredsSuccessful","Login from main page (login button) with valid creds successful",""
"passed","Wed Oct 30 18:59:12 EAT 2024","Wed Oct 30 18:59:19 EAT 2024","6929","","uiTests.AccountPageTest","","uiTests.AccountPageTest","clickLogoFromAccountPageSuccessful","clickLogoFromAccountPageSuccessful",""
"passed","Wed Oct 30 19:00:05 EAT 2024","Wed Oct 30 19:00:12 EAT 2024","6607","","uiTests.RegisterTest","","uiTests.RegisterTest","registerParameterizedTest[0]","registerParameterizedTest[0]",""
"passed","Wed Oct 30 19:00:31 EAT 2024","Wed Oct 30 19:00:36 EAT 2024","5323","","uiTests.RegisterTest","","uiTests.RegisterTest","registerParameterizedTest[5]","registerParameterizedTest[5]",""
"passed","Wed Oct 30 18:59:54 EAT 2024","Wed Oct 30 18:59:59 EAT 2024","5193","","uiTests.MainPageTest","","uiTests.MainPageTest","clickFillingsTabWorks","Click fillings tab successful",""
"passed","Wed Oct 30 19:00:19 EAT 2024","Wed Oct 30 19:00:23 EAT 2024","4130","","uiTests.RegisterTest","","uiTests.RegisterTest","registerParameterizedTest[2]","registerParameterizedTest[2]",""
"passed","Wed Oct 30 19:00:28 EAT 2024","Wed Oct 30 19:00:31 EAT 2024","3413","","uiTests.RegisterTest","","uiTests.RegisterTest","registerParameterizedTest[4]","registerParameterizedTest[4]",""
"passed","Wed Oct 30 18:59:04 EAT 2024","Wed Oct 30 18:59:12 EAT 2024","7367","","uiTests.AccountPageTest","","uiTests.AccountPageTest","clickExitButtonSuccessful","clickExitButtonSuccessful",""
"passed","Wed Oct 30 19:00:36 EAT 2024","Wed Oct 30 19:00:40 EAT 2024","3569","","uiTests.RegisterTest","","uiTests.RegisterTest","registerParameterizedTest[6]","registerParameterizedTest[6]",""
"passed","Wed Oct 30 18:59:30 EAT 2024","Wed Oct 30 18:59:34 EAT 2024","4722","","uiTests.LoginTest","","uiTests.LoginTest","loginFromMainPagePersonalAccountButtonValidCredsSuccessful","Login from main page (personal account button) with valid creds successful",""
"passed","Wed Oct 30 18:59:59 EAT 2024","Wed Oct 30 19:00:05 EAT 2024","6116","","uiTests.MainPageTest","","uiTests.MainPageTest","clickPersonalAccountProfileTabDisplayed","Can open personal account from main page",""
"passed","Wed Oct 30 18:59:42 EAT 2024","Wed Oct 30 18:59:48 EAT 2024","6336","","uiTests.MainPageTest","","uiTests.MainPageTest","clickBunTabWorks","Click bun tab successful",""
"passed","Wed Oct 30 18:59:25 EAT 2024","Wed Oct 30 18:59:30 EAT 2024","4576","","uiTests.LoginTest","","uiTests.LoginTest","loginFromForgotPasswordPageLoginButtonValidCredsSuccessful","Login from forgot password page with valid creds successful",""
